,team,ortg,drtg,netrtg,proj_wins,cluster
0,Boston Celtics,120.6,111.1,9.4,41.5,0
1,New York Knicks,118.5,114.3,4.2,53.5,3
2,Golden State Warriors,115.0,111.7,3.3,47.5,0
3,Detroit Pistons,115.0,113.1,1.9,46.5,0
4,Los Angeles Lakers,115.9,114.7,1.2,46.5,0
5,Sacramento Kings,116.7,116.2,0.5,32.5,2
6,Atlanta Hawks,114.6,115.7,-1.1,47.5,0
7,Washington Wizards,106.8,119.1,-12.3,20.5,1
8,Chicago Bulls,114.1,115.6,-1.5,33.5,2
9,San Antonio Spurs,114.4,117.2,-2.8,44.5,0
10,Denver Nuggets,119.9,116.0,3.9,53.5,3
11,Indiana Pacers,116.5,114.3,2.2,37.5,2
12,Brooklyn Nets,108.5,115.8,-7.3,19.5,1
13,Houston Rockets,115.3,110.8,4.6,52.5,3
14,Oklahoma City Thunder,120.3,107.5,12.8,62.5,3
15,Milwaukee Bucks,115.9,113.4,2.5,43.5,0
16,Phoenix Suns,116.2,119.3,-3.1,30.5,2
17,Los Angeles Clippers,115.1,110.3,4.7,49.5,0
18,Cleveland Cavaliers,121.7,112.2,9.5,56.5,3
19,Portland Trail Blazers,111.7,114.7,-3.0,35.5,2
20,Utah Jazz,111.2,120.4,-9.3,18.5,1
21,Dallas Mavericks,114.8,116.0,-1.2,41.5,2
22,New Orleans Pelicans,110.4,119.9,-9.5,30.5,1
23,Miami Heat,113.5,112.9,0.6,37.5,2
24,Minnesota Timberwolves,116.6,111.5,5.1,49.5,0
25,Toronto Raptors,110.5,114.8,-4.3,39.5,2
26,Charlotte Hornets,107.3,116.6,-9.3,27.5,1
27,Orlando Magic,109.4,109.6,-0.1,51.5,0
28,Memphis Grizzlies,117.7,113.0,4.7,39.5,2
